model,true_label,support,total_error_count,class_error_rate,predicted_as_benign_count,predicted_as_benign_rate,predicted_as_attack_count,predicted_as_attack_rate
CNN,BENIGN,454242,1097,0.0024150122621862356,0,0.0,1097,0.0024150122621862356
CNN,Bot,391,245,0.6265984654731458,245,0.6265984654731458,0,0.0
CNN,BruteForce,2766,40,0.014461315979754157,36,0.013015184381778741,4,0.0014461315979754157
CNN,DDoS,25605,18,0.00070298769771529,17,0.0006639328256199961,1,3.905487209529389e-05
CNN,DoS,50343,114,0.0022644657648531077,112,0.002224738295294281,2,3.9727469558826454e-05
CNN,Heartbleed,2,0,0.0,0,0.0,0,0.0
CNN,Infiltration,7,6,0.8571428571428571,6,0.8571428571428571,0,0.0
CNN,PortScan,31761,23,0.0007241585592393186,11,0.0003463367022448915,12,0.0003778218569944271
CNN,WebAttack,436,390,0.8944954128440367,373,0.8555045871559633,17,0.0389908256880734
Random Forest,BENIGN,454242,305,0.0006714482588576133,0,0.0,305,0.0006714482588576133
Random Forest,Bot,391,91,0.23273657289002558,91,0.23273657289002558,0,0.0
Random Forest,BruteForce,2766,3,0.0010845986984815619,3,0.0010845986984815619,0,0.0
Random Forest,DDoS,25605,14,0.0005467682093341144,14,0.0005467682093341144,0,0.0
Random Forest,DoS,50343,60,0.0011918240867647934,59,0.0011719603519853804,1,1.9863734779413227e-05
Random Forest,Heartbleed,2,0,0.0,0,0.0,0,0.0
Random Forest,Infiltration,7,3,0.42857142857142855,3,0.42857142857142855,0,0.0
Random Forest,PortScan,31761,146,0.004596832593432197,135,0.004250495891187305,11,0.0003463367022448915
Random Forest,WebAttack,436,14,0.03211009174311927,11,0.02522935779816514,3,0.006880733944954129
Clipped Weighted CNN,BENIGN,454242,24522,0.053984440012152114,0,0.0,24522,0.053984440012152114
Clipped Weighted CNN,Bot,391,3,0.0076726342710997444,3,0.0076726342710997444,0,0.0
Clipped Weighted CNN,BruteForce,2766,8,0.0028922631959508315,2,0.0007230657989877079,6,0.0021691973969631237
Clipped Weighted CNN,DDoS,25605,13,0.0005077133372388206,10,0.0003905487209529389,3,0.00011716461628588167
Clipped Weighted CNN,DoS,50343,170,0.003376834912500248,36,0.0007150944520588761,134,0.002661740460441372
Clipped Weighted CNN,Heartbleed,2,0,0.0,0,0.0,0,0.0
Clipped Weighted CNN,Infiltration,7,1,0.14285714285714285,0,0.0,1,0.14285714285714285
Clipped Weighted CNN,PortScan,31761,22,0.000692673404489783,6,0.00018891092849721356,16,0.0005037624759925695
Clipped Weighted CNN,WebAttack,436,18,0.04128440366972477,4,0.009174311926605505,14,0.03211009174311927
